,January,February,March,April,All
0,89575,232229,522179,865072,1709055
1,42204,125106,252758,355519,775587
2,28505,82150,166446,272847,549948
3,25471,63171,134616,211420,434678
4,22144,60888,121366,184997,389395
5,19310,54107,103450,180518,357385
6,17246,44143,93656,162402,317447
7,16334,42706,92810,159150,311000
8,15489,42162,86709,140546,284906
9,11825,37307,66928,113698,229758
10,11677,27161,50880,100745,190463
11,11142,27100,47940,68328,154510
12,9305,22415,46561,67636,145917
13,8919,20383,37936,55928,123166
14,6543,17738,34389,54196,112866
15,6120,17410,34150,53979,111659
16,5905,16811,27100,53428,103244
17,5734,16530,24024,46191,92479
18,4412,13789,23584,39507,81292
19,4139,11456,23112,39019,77726
