,'',Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,2021,2022,,,,,
1,,"""",,"""",,,,
2,,,,0.06%,"2,453",FLYONE,,5F
3,,0.04%,230,0.05%,"2,285",CYPRUS AIRWAYS,,CY
4,,,,0.04%,"1,614",BLUE AIR AVIATION,,0B
5,,0.02%,128,0.02%,"1,078",NORD WIND,,N4
6,,,,0.02%,993,JSC Iraero Airlines,,IO
7,,,,0.02%,895,ALBASTAR.ES,,AP
8,,,,0.02%,779,EUROPEAN AIR CHARTER,,BUC
9,,,,0.01%,770,JET2,,LS
10,,,,0.01%,769,HISKY,,H7
11,139.67%,0.05%,305,0.01%,731,AERO HANDLING,,AHS
12,,,,0.01%,501,ELECTRA AIRWAYS,,EAF
13,,,,,372,ETF AIRWAYS,,LI
14,,,,,284,RWANDAIR,,WB
15,,,,,283,ASL AIRLINES,,5O
16,-72.06%,0.10%,562,,157,"CATHAY PACIFICAIRWAYS",,CX
17,-32.97%,0.03%,188,,126,PRIVILEG STYLE,,PVG
18,,,,,110,"WIND ROSE AVIATION Co.Lt",,7W
19,35.15%,1.73%,"8,949",0.31%,"12,095",,,
20,,,"516,980",,"3,893,890",'',,
