,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,"""",,"""",,
1,10.36%,"13,816",12.58%,"152,909",TURKEY
2,27.59%,"36,784",11.43%,"138,965",UNITED STATES
3,10.40%,"13,872",8.56%,"103,996",FRANCE
4,2.91%,"3,884",7.06%,"85,812",UNITED ARAB EMIRATES
5,0.44%,595,6.99%,"85,024",ITALY
6,12.35%,"16,470",6.54%,"79,496",GERMANY
7,6.19%,"8,264",5.95%,"72,279",UNITED KINGDOM
8,0.54%,731,3.22%,"39,124",SWITZERLAND
9,0.51%,693,3.19%,"38,838",SPAIN
10,0.40%,536,3.09%,"37,591",HUNGARY
11,0.51%,689,2.96%,"35,988",GREECE
12,0.78%,"1,045",2.91%,"35,361",AUSTRIA
13,0.90%,"1,203",2.71%,"32,930",ROMANIA
14,0.68%,916,2.69%,"32,754",NETHERLANDS
15,0.04%,59,2.54%,"30,907",POLAND
16,0.73%,983,2.33%,"28,415",CYPRUS
17,1.41%,"1,886",2.31%,"28,160",GEORGIA
18,0.86%,"1,152",1.95%,"23,738",BULGARIA
19,0.12%,173,1.47%,"17,896",CZECH REPUBLIC
20,2.87%,"3,837",1.20%,"14,648",RUSSIAN FEDERATION
21,,11,0.94%,"11,528",BELGIUM
22,,,0.90%,"11,040",MOROCCO
